,questions,answers
1070,Какой климатический курорт на Черном море расположен к северо-востоку от Варны?,Золотые пески
1071,Какой сплав содержит от двух до пяти процентов углерода и от девяноста пяти до девяноста восьми процентов железа?,чугун
1072,"Какой теплоход на подводных крыльях построили в 1957 году на заводе ""Красное Сормово""?",ракета
1073,Какой чемпион мира среди профессионалов и сейчас тренируется в тюремном спортзале. Это ... ?,Тайсон
1074,Какую маслянистую ядовитую жидкость можно обнаружить в листьях табака?,никотин
1075,"Каким средством передвижения пользовались части ""самокатчиков"" времен 1-ой мировой войны?",велосипедами
1076,"Чем заполнено озеро в Тринидаде, называемое ""смоляным""?",асфальтом
1077,"Какое слово в русском языке в конце концов вытеснило понятие ""тучерез""?",небоскреб
1078,"Какое судно своей гибелью сумело заработать 11 ""оскаров""?",титаник
1079,"Какой вид спорта называют в шутку ""рукопожатие до победы""?",армрестлинг
1080,"Какую роль играл король Франции Людовик XIV в спектакле ""королевский балет ночи""?",солнце
1081,"Кого учат передвигаться по ""облегченной"" лестнице, с широкими ступенями?",собак
1082,"Кто нарисовал обложку к первому изданию ""Похождений Чичикова""?",Гоголь
1083,"Название какой песни прославило группу ""руки вверх""?",студент
1084,"Чего у ""Салюта-7"" было 2, а у ""Мира"" 6?",стыковочных узлов
1085,"Актриса, которой много раз угрожал Анатолий Папанов?",Румянова
1086,В какой день в средневековой Европе заключались договоры работодателей с рабочими и подмастерьями?,первого мая
1087,В какой из кинокомедий Григория Александрова великолепная Любовь Орлова претерпела раздвоение личности,весна
1088,В какой стране начали делать бемское стекло?,Богемия
1089,В какой стране очень популярна лапша из фасолевой муки,Китай
1090,В какой стране сшили шапку Мономаха?,Византия
1091,В каком виде спорта скорость полета мяча самая большая?,гольф
1092,В каком городе жила птица Феникс?,Гелиополь
1093,"В каком городе располагался римский монетный двор, чьим сокращенным обозначением на монетах служил знак, идентичный современному натуральному логарифму?",лондиниум
1094,В чем носит подарки ребятам Дед Мороз?,мешок
1095,В чем проигрывал капитан сборной СССР по хоккею Борис Михайлов своим зарубежным коллегам?,зарплата
1096,Где министры российского правительства хранили бюджеты ведомств?,банк
1097,"Где можно увидеть складку на складке, солнце, крест?",в цирке
1098,Где находится самый мощный микроскоп,Цюрих
1099,Где расположена резиденция Всевышнего,небеса
1100,Какая операционная система должна умереть? (ответ англ. буквами),windows
1101,Каким камнем любят покрывать полы?,мрамор
1102,Кто назвал реку Яик Уралом?,Екатерина II
1103,Какой язык является усовершенствованным вариантом эсперанто?,Идо
1104,Какие цветы отцвели в саду у героини романса?,хризантемы
1105,"Какой полудрагоценный камень, по легенде, постоянно носил при себе Александр Македонский?",Хризопраз
1106,Сколько точек Лагранжа существует в системе из двух массивных космических тел?,5
1107,Где в автомобиле находится тяга Панара?,Подвеска
1108,Какой литературны герой любил гулять под меховым зонтом?,Робинзон Крузо
1109,Как называется самая тяжелая степень умственной отсталости?,Идиотия
1110,Кто является основоположником современного искусствознания?,Джорджо Вазари
1111,"Кто исполнил ""Песню Волшебника"" в фильме Марка Захарова ""Обыкновенное чудо""?",Леонид Серебренников
1112,Какой цирк основал А. В. Саламонский в 1880 г.?,Цирк на Цветном бульваре
1113,"Какой день недели будет 1 декабря, если 1 ноября пришлось на понедельник?",Среда
1114,Кто создал первый советский цельнометаллический самолёт?,А. Н. Туполев
1115,Где были изобретены обои?,в Филадельфии
1116,"Какая певица родилась во Франции, жила в Польше, а сегодня ее город - Санкт-Петербург?",Эдита Пьеха
1117,Когда в повести братьев Стругацких начинается понедельник?,в субботу
1118,С какой фигуры начинается игра в городки?,пушки
1119,Чем наводили румяна девушки в древней Руси?,свёклой
1120,сколько может съесть паучиха черная вдова,20
1121,Какое сражение положило начало избавлению Руси от татаро-монгольского ига?,Куликовская битва
1122,Какой колбасой профессор Преображенский кормил Шарика?,краковской
1123,Сколько просветов было на погонах есаула?,один
1124,Какую юбку носят шотландцы?,килт
1125,Мясо какой птицы в Британии разрешено есть только королеве?,лебедя
1126,Какой напиток рекламирует Хью Джекман?,чай
1127,"В какой игре ""забивают козла""?",домино
1128,Какой медведь имеет самый длинный мех?,губач
1129,"Как назывался первый номер, который Юрий Никулин сыграл на арене цирка?",Натурщик и халтурщик
1130,"На чем играл Шерлок Холмс, обдумывая очередное дело?",на скрипке
1131,Какие животные могут жить более 200 лет?,черепахи
1132,Сколько колоколов у Пизанской башни?,7
1133,Где наблюдалась самая большая туча стадной саранчи?,На красном море
1134,Что танцуют на конкурсе герои Турман и Траволты в фильме «Криминальное чтиво»?,твист
1135,Чем вооружен архангел Михаил на гербе Архангельска?,мечом
1136,Какой металл дал название пломбам?,свинец
1137,"Эмблемой какой науки являются скальпель и паяльник, соединённые знаком интеграла?",бионика
1138,"Какой металл может ""заболеть чумой""?",олово
1139,Какой день недели — единственный выходной в Иране?,пятница
1140,"Для какой аудитории изначально предназначалась ""Книга рекордов Гиннесса""?",пивных пабов
1141,"Как называется игристое вино, производимое в регионе Эмилия-Романья и близлежащих областях?",ламбруско
1142,Какой цвет отсутствует на классической мишени игры в дартс?,синий
1143,"Как называется синкретическая религия, распространённая на Кубе и основанная на африканских культах народа йоруба?",сантерия
1144,"Какое вещество нужно размешать в горячей воде, чтобы получился клейстер?",крахмал
1145,"Какого ""святого"" нет среди принадлежащих Болгарии островов на Черном море?",андрей
1146,Как называется должность адвоката высокого ранга в Великобритании?,барристер
1147,Кого Сальвадор Дали поместил на телефонную трубку на одной из своих скульптур?,омара
1148,"Кто из бывших помощников президента России ""переквалифицировался"" в режиссёры?",Сергей Ястржембский
1149,Что носил на мизинце Федор Шаляпин?,перстень
1150,Какой диснеевский персонаж традиционно получает несколько голосов на выборах президента Финляндии,дональд дак
1151,"Какой остров, по одной из версий, получил своё название, когда оставленных там заболевших цингой моряков Алонсо де Охеды на обратном пути нашли здоровыми?",кюрасао
1152,Что делал Том с государственной печатью в романе М. Твена «Принц и нищий»?,колол орехи
1153,"Сколько очков начисляется за победу в гонке современной версии ""Формулы-1""?",25
1154,Какой олень составляет компанию дронту на гербе Маврикия?,замбар
1155,"Что, по мнению древних арабов, служило пищей мифической птице Рух?",слоны
1156,Какого цвета двуглавый орел на полной версии герба России?,золотой
1157,"Сколько бесед провел с Вячеславом Молотовым, а позже написал об этом книгу, писатель и публицист Феликс Чуев?",140
1158,Как надевали часть гусарского обмундирования - ментик,На доломан
1159,Какое событие в жизни химика И. Р. Глаубера способствовало открытию глауберовой соли?,Перенесённый сыпной тиф
1160,Какое число получится при переводе числа 1000 из двоичной в десятичную систему счисления?,8
1161,Самолёт какой марки вывозил терпевших бедствие в фильме «Экипаж» 1979 года?,ТУ-154
1162,"В какой телевизионной передаче использована в качестве заставки мелодия аргентинского композитора Ариэля Рамиреса ""Жаворонок""?","""В мире животных"""
1163,"Как называется специальный сосуд, придуманный Пифагором?",кружка жадности
1164,Сколько звезд на погоне адмирала Франции?,7
1165,"Кто из царей Древнего Рима, согласно преданию, убедил Юпитера отказаться от человеческих жертвоприношений?",Нума Помпилий
1166,Какие рецепторы есть в глазу человека?,колбочки
1167,"В каком жанре был снят мультфильм ""Планета сокровищ"" 2002 года по роману Р. Л. Стивенсона ""Остров сокровищ""?",киберпанк
1168,"Кто или что, входящее в повседневный рацион красных ибисов, обеспечивает птицам соответствующую окраску?",креветки
1169,Сколько глаз у мухи?,5
1170,"Кому в России с 2006 года вручается премия ""Бриллиантовая шпилька""?",блондинкам
1171,Чьим потомком называл себя Остап Бендер?,янычар
1172,Эмблема какой автофирмы представляет четыре сплетенных кольца?,ауди
1173,Сколько прямых углов составляет развернутый угол?,2
1174,"Кто является главным героем песни «Фантом», исполненной группой «Чиж &amp; Со»?",лётчик США
1175,"О ком группа «Шокинг блю» спела песню, которую в 70-е годы у нас называли «Шизгара»?",о богине Венере
1176,Что сооружают из природных материалов приверженцы карго-культа в Меланезии?,взлётно-посадочные полосы
1177,"В каком монастыре Армении хранится наконечник копья, претендующий на то, чтобы называться знаменитым копьем Лонгина?",Эчмиадзин
1178,Какой великий французский математик участвовал в битве за Прагу и в осаде Ла-Рошели?,Рене Декарт
1179,Какой чемпион мира по боксу в супертяжёлом весе среди профессионалов прожил почти 100 лет?,Макс Шмелинг
1180,Сколько лучей у звезды на флаге Маршалловых Островов?,24
1181,Что является символом власти Папы Римского?,кольцо
1182,Какая буква исчезла из русского алфавита в результате реформы Петра I?,омега
1183,Какой популярный напиток назван в честь улыбчивого эльфа с серебряными волосами?,Sprite
1184,"Какому греху предавались гости богатого римского консула Лукулла, чьё имя прославилось в веках?",чревоугодию
1185,"Какой пистолет-пулемет, по мнению М. Калашникова, был лучшим в период Второй мировой войны?",судаева
1186,чему равна римская цифра l,50
1187,"Какой из русских путешественников исследовал Центральную Азию, Монголию и Северный Китай?",Пржевальский
1188,"Какого персонажа ""Гамлета"" можна найти в таблице химических элементов Менделеева?",Полония
1189,"Как изначально Пушкин хотел назвать трагедию ""Моцарт и Сальери""?",Зависть
1190,Какой роман рассказывает историю семьи Буэндиа?,"""Сто лет одиночества"""
1191,"Какую премию в 2008 году Боб Дилан получил в номинации ""За особые заслуги""?",Пулитцеровскую
1192,"Какую песню поёт в такси героиня Татьяны Дорониной из фильма ""Три тополя на Плющихе""?","""Нежность"""
1193,Как называется острая мексиканская приправа?,Чили
1194,Что Пётр I велел брить всем боярам и дворянам?,Бороды
1195,Сколько процентов из жизни ленивцы проводят во сне?,75%
1196,Что в русских народных сказках символизирует заяц?,Трусость
1197,Что коллекционирует голливудский актёр Харрисон Форд?,самолёты
1198,Какой танец дал название улице для карнавалов в Рио-де-Жанейро?,самба
1199,"Сколько по времени горит ""желтый сигнал"" светофора?",1 секунду
1200,В какой лиге играет Шеффилд?,"Кубок Англии по футболу, Northern Premier League Division One East"
1201,В какой части планеты находится Беларусь?,в Восточной Европе
1202,В какой части света находится Россия?,В Европе и Азии
1203,Где погребен Кутузов?,Казанский собор в Санкт-Петербурге
1204,Где проходит Нашествие 2019?,"поселок Большое Завидово, расположенный в Тверской области"
1205,За какую команду гонок Формулы-1 выступает Михаил Шумахер?,Team Sauber Mercedes
1206,К какому архитектурному стилю относится Зимний дворец?,барокко
1207,К какому архитектурному стилю относится собор Парижской Богоматери?,Готика
1208,Как зовут Бречалова Удмуртия?,Алекса́ндр Влади́мирович
1209,Как Прага делится на районы?,"Прага делится на 22 административных района: Прага-1, Прага-2 и так далее до Праги-22. Чем меньше номер — тем ближе к центру. Для путешественников интересны районы с первого по 10-й — здесь сосредоточены культурные и архитектурные достопримечательности, хорошие гостиницы и аутентичные рестораны"
1210,Какая организационно-правовая форма компании Тандер?,"АО ""ТАНДЕР"
1211,Какие районы есть в Сочи?,"Адлерский, Лазаревский, Хостинский, Центральный"
1212,Каким орденом награжден Шойгу?,Орден Александра Невского
1213,Какое административное деление Великобритании?,"Англия включает в себя 9 регионов, 6 метропольных графств, 28 неметропольных графств, 55 унитарных единиц, Большой Лондон с 32-мя районами, Лондонский Сити и острова Силии, объединенных в 48 церемониальных графств"
1214,Какое воинское звание у министра обороны Шойгу?,Генерал армии
1215,Какой пост занимает Шойгу?,Губернатор Московской области
1216,Какой титул носил английский поэт Джордж Байрон?,барон Байрон
1217,Какую премию получил Перельман?,медаль Филдса
1218,Кто написал песню Священная война?,"Василий Иванович Лебедев-Кумач, Александр Васильевич Александров"
1219,Кто отец Юлии Началовой?,Виктор Началов
1220,Куда впадает река Вуокса?,Ла́дожское о́зеро
1221,На чем играл Моцарт?,"орган, клавир, скрипка, альт"
1222,По какому созвездию можно найти Полярную звезду?,Малая Медведица
1223,Что окончила Бузова?,окончила в Санкт-Петербурге школу № 631
1224,В какой лиге играет Аик?,Чемпионат Швеции по футболу
1225,В какой лиге играет Копенгаген?,"Чемпионат Дании по футболу, Кубок Дании по футболу"
1226,В какой части планеты находится Египет?,северо-восточная Африка
1227,В каких учебных заведениях учился Путин?,Санкт-Петербургский государственный университет
1228,Где был создан Международный олимпийский комитет?,Париж
1229,Где родился Михаил Калашников?,Курья
1230,Где штаб-квартира НАТО?,Брюссельский столичный регион
1231,Из чего состоит системный блок компьютера?,"корпус, блок питания, материнская плата, процессор, жесткий диск, оптический привод для лазерных CD и DVD дисков"
1232,Какая столица в Вирджинии?,Ричмонд
1233,Какая часть света Казахстан?,Евразия
1234,Какой голос у Лучано Паваротти?,лирический тенор
1235,Какой голос у Марии Каллас?,"Драматическая колоратура, лирико-драматическое сопрано, меццо-сопрано"
1236,Какой титул носила принцесса Диана?,"Диана, принцесса Уэльская"
1237,Какой университет окончил Анураг?,Индийский Технологический Университет
1238,Кто была мать Ахиллеса?,Тетис
1239,Кто была мать Геракла?,Алкмена
1240,Кто муж Алсу?,ян абрамов
1241,Кто основал компанию Уорнер Бразерс?,"Джек Леонард Уорнер, Гарри Уорнер, Альберт Уорнер, Сэм Уорнер"
1242,Кто режиссер фильма Годунов?,"Алексей Андрианов, Тимур Алпатов"
1243,Кто сочинил кантату Александр Невский?,"писал частью сам Прокофьев, частью поэт Владимир Луговской"
1244,Куда впадает река Паша?,река Свирь
1245,На каких языках говорит Путин?,"Русский,Шведский,Немецкий"
1246,На какой реке стоит Пермь?,Кама
1247,В какой части света находится Бразилия?,Южной Америке
1248,В какой части света находится Германия?,Европа
1249,На чем играл Луи Армстронг?,"Труба, корнет"
1250,Столица какой страны Богота?,Колумбия
1251,Столицей какого города является Дакка?,Бенгалии
1252,Столицей чего является Будапешт?,столица Венгрии
1253,В какой лиге играет Торпедо Москва?,Первенство Футбольной национальной лиги
1254,В какой части света находится Китай?,Азия
1255,В каком виде спорта разыгрывается Кубок Кремля?,ТЕННИС
1256,В каком городе живут герои Теории большого взрыва?,Пасадена
1257,В каком жанре снят фильм Кин-дза-дза?,"фантастика‎,антиутопия‎;трагикомедия"
1258,В каком океане находится Марианская впадина?,Тихий океан
1259,В каком направлении писал Тютчев?,"романтизм, пантеизм"
1260,В каком направлении творил Караваджо?,"Барокко, реализм"
1261,В каком стиле построен Исаакиевский собор в Санкт-Петербурге?,поздний классицизм
1262,В каком университете получил образование Исаак Ньютон?,"Тринити-колледж (Кембридж), The King's School"
1263,В какую лигу входит ПСЖ?,"Лига чемпионов УЕФА, Кубок французской лиги по футболу,Французская Лига 1, Кубок Франции по футболу"
1264,В какую лигу входит Реал Мадрид?,"Лига чемпионов УЕФА, Ла Лига, Кубок Испании по футболу, Клубный чемпионат мира по футболу"
1265,Где захоронен Пушкин Александр Сергеевич?,"Святогорский Успенский монастырь, Пушкинские Горы"
1266,Где находится штаб-квартира Google?,"Маунтин-Вью, Калифорния, США"
1267,Где образовалась группа Кино?,"Союз Советских Социалистических Республик ,‎Ленинград"
1268,Где погребен Иисус Христос?,Гробница в Храме Воскресения Христова в Иерусалиме
1269,Где похоронен Цой?,Богословское кладбище в СПб
1270,К какой династии относился князь Владимир Мономах?,Рюриковичи
1271,К какому жанру относится произведение Мертвые души?,Роман
1272,Какая кинокомпания снимает Бэтмена?,Warner Bros
1273,Какая кинокомпания снимает Игру престолов?,HBO
1274,Какая компания сняла Аквамен?,"DC Films, Warner Bros., The Safran Company, Warner Bros. Pictures, DC Entertainment"
1275,Какая компания сняла Дэдпул?,"Marvel Entertainment, 20th Century Studios, TSG Entertainment, Genre Films, Donners' Company"
1276,Какая организационно-правовая форма компании Аэрофлот?,ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО
1277,Какая организационно-правовая форма компании Марс?,Общества с ограниченной ответственностью
1278,Какая отрасль у компании Яндекс?,"интернет-отрасль, индустрия программного обеспечения и Интернет"
1279,Какого пола Фейс?,Мужской пол
1280,Какое наиболее известное произведение Николая Коперника?,О вращении небесных сфер
1281,Какой вуз окончил первый президент России Б.Н. Ельцин?,Уральский федеральный университет
1282,Какой вуз окончила Собчак?,МГИМО
1283,На каком инструменте играл Бетховен?,Фортепиано
1284,Какой титул имел основатель современного олимпийского движения Пьер де Кубертен?,Барон
1285,Какой университет окончил Путин?,"Санкт-Петербургский Горный Университет, Санкт-Петербургский государственный университет"
1286,Какие выдающиеся работы Моцарта?,Волшебная флейта
1287,Какую премию получил Зигмунд Фрейд?,‎премия Гёте‎
1288,Кто архитектор Зимнего дворца в Санкт-Петербурге?,"Растрелли, Бартоломео Франческо, Доменико Трезини, Андрей Данилович Готман"
1289,Кто архитектор Петропавловской крепости?,"Доменико Трезини, Николай Александрович Львов, Давид Иванович Гримм"
1290,Кто архитектор Эйфелевой башни?,"Стефан Совестр, Эмиль Нугье, Морис Кёхлен"
1291,Кто была мать Гитлера?,Клара Гитлер
1292,Кто изобрел интернет?,"Роберт Эллиот Кан, Винтон Серф"
1293,Кто изобрел лампочку?,"20 декабря 1879 года американский учёный Томас Эдисон запатентовал электрическую лампочку. Именно его в США принято считать изобретателем этого прибора, хотя на самом деле Эдисон лишь усовершенствовал уже существовавшие разработки"
1294,Кто изобретатель первого телескопа?,"Иоанн Липперсгей, Захарий Янсен, Лайман Спитцер"
1295,Кто изобретатель первого телефона?,"Александр Грейам Белл, Антонио Меуччи, Амос Дольбеар"
1296,Кто изобрёл телевидение?,"Фарнсуорт, Фило Тэйлор, Бэрд, Джон Лоуги, Чарльз Франсис Дженкинс"
1297,Кто муж Юлии Меньшовой?,Игорь Гордин
1298,Кто муж Юлии Началовой?,"Евгений Валерьевич Алдонин, Ланской Дмитрий Алексеевич"
1299,Кто написал Снежную королеву?,Ханс Кристиан Андерсен
1300,Кто оператор фильма Веселые ребята?,"Владимир Нильсен, Борис Соломонович Арецкий"
1301,Кто организовал компанию Амвей?,Ричард Девос и Джей Ван Андел
1302,Кто основал компанию Гугл?,"Ларри Пейдж, Сергей Брин, Эрик Шмидт"
1303,Кто основал компанию Эппл?,"Стив Джобс, Стив Возняк, Рональд Уэйн"
1304,Кто принимал участие в Семилетней войне?,"Российская империя, Пруссия, Швеция, Британская империя"
1305,Кто проектировал Зимний дворец?,"Бартоломео Франческо Растрелли, Доменико Трезини, Андрей Данилович Готман"
1306,Кто производит шкоду?,Škoda Auto
1307,Кто разработчик Fortnite?,Epic games People can fly
1308,Кто режиссер фильма Гарри Поттер?,"Дэвид Йейтс, Крис Коламбус, Альфонсо Куарон, Майк Ньюэлл"
1309,Кто режиссер фильма Покровские ворота?,Михаил Михайлович Козаков
1310,Кто сочинил танец с саблями?,Арам Ильич Хачатупян
1311,Кто участвовал в Куликовской битве?,"Московское княжество, Великое княжество Владимирское, Мамаева Орда (западноволжская Орда"
1312,Кто является первооткрывателем Антарктиды?,Фаддей Фаддеевич Беллинсгаузен
1313,Куда впадает река Мама?,река Витим
1314,На каких островах расположена Великобритания?,"Состоит из острова Великобритания, на котором расположены Англия, Шотландия и Уэльс, и части острова Ирландия, который занимает Северная Ирландия. Остров Мэн и Нормандские острова являются доминионами Соединенного Королевства, но не входят в его состав"
1315,На каком водоеме находится Венеция?,Венецианская лагуна
1316,На каком водоеме стоит город Венеция?,Венецианской лагуны Адриатического моря
1317,В какой части света находится Австралия?,На материке Австралия
1318,На чем играет Стив Мартин?,банджо
1319,Под какой лицензией распространяется линукс?,"GNU-лицензия (GNU General Public License, или GPL)"
1320,С кем в браке был Путин?,Людмила Александровна Путина
1321,Столицей какой страны является Лондон?,Англия
1322,Чей фильм Кин дза дза?,Георгий Данелия
1323,Что исповедуют буряты?,буддизм или шаманизм
1324,Что исповедуют сербы?,Основная религия — православие. Сербы-католики и мусульмане составляют меньшинство
1325,Что содержит в себе семя?,"эндосперм, зародыш, специальный защитный покров"
1326,Чья композиция Беспечный ангел?,Ария
1327,В какие организации входит Бразилия?,"ООН, ВТО, группы БРИКС, Большой двадцатки, Организации американских государств, Меркосур, Содружества португалоязычных стран"
1328,В какой лиге играет Челси?,Английская Премьер-лига
1329,В какой стране зародились олимпийские игры?,Греция
1330,В какой холдинг входит магазин Пятерочка?,X5 Retail Group
1331,В какой холдинг входит МТС?,ПАО АФК «Система
1332,В какой холдинг входит ТНТ?,Газпром-Медиа Холдинг
1333,В какой части света находится США?,Северная Америка
1334,В каком направлении писал Пушкин?,"романтизм, реализм"
1335,В каком спорте женщины соревнуются за Кубок Убер?,в бадминтоне
1336,В каком стиле построен собор Нотр-Дам-де-Пари?,Готическая архитектура во Франции
1337,В каком стиле построен Эрмитаж?,Елизаветинское барокко
1338,В какую лигу входит Ювентус?,"Лига чемпионов УЕФА, Серия A, Кубок Италии по футболу,Чемпионат Италии по футболу — Серия B,Суперкубок Италии по футболу"
1339,Где гробница Тамерлана?,"Гур-Эмир, Самарканд, Узбекистан"
1340,Где жил Пушкин?,"Одесса, Кишинёв, Симферополь, Москва"
1341,Где захоронен Сталин?,Некрополь у Кремлёвской стены
1342,Где находится устье реки Амазонка?,‎Атлантический океан
1343,Где находится устье реки Обь?,"Обская Губа, Карское море"
1344,Где образовалась группа Битлз?,"Ливерпуль, Великобритания"
1345,Где образовалась группа Сектор газа?,Воронеж
1346,Где похоронен Гагарин?,"Некрополь у Кремлёвской стены, Москва"
1347,Где похоронена Юлия Началова?,Троекуровское кладбище
1348,Где родилась Пугачева?,Москва
1349,Где родилась София Ротару?,"Маршинцы, Украина"
1350,Где родился Бетховен?,"Бонн, Германия"
1351,Где родился Децл?,Москва
1352,Где родился Иисус Христос?,Вифлеем
1353,Где родился Чайковский?,Воткинск
1354,Где учился Гарри Поттер?,в школе магии Хогвартс
1355,Где учился Оксимирон?,Оксфорд университет
1356,Где штаб-квартира АСЕАН?,"Джакарта, Индонезия"
1357,Каким инструментом владел Рахманинов?,Фортепиано
1358,За кем замужем Вера Брежнева?,Константин Меладзе
1359,За кем замужем Регина Тодоренко?,Влад Топалов
1360,За кого играет Криштиану Роналду?,Ювентус
1361,Из какой династии был Хлодвиг?,Меровинги
1362,Из какой династии Карл Великий?,Каролинги
1363,Из какой династии королева Елизавета 2?,Виндзоры
1364,Какая группа исполняет песню How much is the fish?,Scooter
1365,Какая кинокомпания снимает Звездные Войны?,Lucasfilm
1366,Какая кинокомпания снимает Лигу справедливости?,"Warner Bros, DC Films"
1367,Какая кинокомпания снимает Мстителей?,"Paramount Pictures, Marvel Studios"
1368,Какая киностудия снимает фильм Сваты?,Квартал 95
1369,Какая киностудия сняла Джокера?,Warner Bros
1370,Какая киностудия сняла фильм Д'артаньян и три мушкетёра?,Одесская киностудия
1371,Какая киностудия сняла фильм Москва слезам не верит?,Мосфильм
1372,Какая компания владеет сервисом Youtube?,Google
1373,Какая компания производит киндер сюрприз?,компания Ferrero
1374,Какая компания сняла мультфильм История игрушек?,"Pixar, Walt Disney Pictures"
1375,Какая родительская компания у Google?,Alphabet Holding
1376,Какая столица в Великобритании?,Лондон
1377,Какая столица в Византии?,Константинополь
1378,Какая столица Венесуэлы?,Каракас
1379,Какая столица Вологодской области?,Вологда
1380,Какая столица Вьетнама?,Ханой
1381,Какая столица у Великих Моголов?,"Агра, Фатехпур-Сикри, Лахор, Дели"
1382,Какие республики входили в СССР?,"15 союзных республик: Российская СФСР, Украинская ССР, Белорусская ССР, Узбекская ССР, Казахская ССР, Грузинская ССР, Азербайджанская ССР, Литовская ССР, Молдавская ССР, Латвийская ССР, Киргизская ССР, Таджикская ССР, Армянская ССР, Туркменская ССР, Эстонская ССР"
1383,Какими орденами и медалями был награжден Сталин?,"Золотая Звезда» Героя Советского Союза № 7931 и полагающийся к ней знак ордена Ленина № 117859 (по Указу от 26 июня 1945 г.), еще один орден Ленина, № 117864 (по Указу от 20 декабря 1949 г.) и второй орден «Победа» (по Указу от 26 июня 1945 г.)"
1384,Каких наград был удостоен Солженицын?,Нобелевская премия по литературе
1385,Какое воинское звание было у Гитлера?,ефрейтор
1386,Какое воинское звание было у Никиты Сергеевича Хрущева?,генерал-лейтенант
1387,Какое воинское звание у Евкурова?,генерал-лейтенант
1388,Какое воинское звание у Лукашенко?,Подполковник запаса
1389,В честь кого названа Московская сельскохозяйственная академия,Климент Аркадьевич Тимирязев
1390,На каких инструментах играл Вивальди?,Скрипка
1391,Какой певческий голос был у Фёдора Шаляпина?,Бас
1392,Какой певческий голос у Ким Тэ Хена?,Баритон
1393,Какой певческий голос у Николая Баскова?,лирический тенор
1394,Какой разработчик игр создал Clash of Clans?,Supercell
1395,Какой разработчик игр создал Contra?,Konami
1396,Какой разработчик создал Сталкер?,GSC Game World
1397,Какой тембр голоса у Зои Ященко создателя и лидера группы Белая гвардия?,Меццо-сопрано
1398,Какой титул имеет Дон Кихот?,идальго
1399,Какой титул имеет принц Чарльз старший сын британской королевы?,герцог Корнуольский
1400,Какой титул носил Лев Николаевич Толстой?,Граф
1401,Какую веру исповедуют евреи?,иудаизм
1402,Какую религию исповедуют осетины?,"Христианство, ислам"
